wavelength_nm,E_norm
628.15,0.38493
628.5,0.37994
628.85,0.37738
629.2,0.37503
629.55,0.36969
629.9,0.36883
630.25,0.36382
630.6,0.36024
630.95,0.35931
631.3,0.35239
631.65,0.34932
632.0,0.34755
632.35,0.34337
632.7,0.33923
633.05,0.3356
633.4,0.33406
633.75,0.33076
634.1,0.32452
634.45,0.31977
634.8,0.3199
635.15,0.31449
635.5,0.3134
635.85,0.30949
636.2,0.30598
636.55,0.30334
636.9,0.29815
637.24,0.29602
637.59,0.29243
637.94,0.28913
638.29,0.2861
638.64,0.28259
638.99,0.27941
639.34,0.27559
639.69,0.2702
640.04,0.26915
640.39,0.26523
640.74,0.2594
641.08,0.25843
641.43,0.25507
641.78,0.25178
642.13,0.24908
642.48,0.24737
642.83,0.2451
643.18,0.24092
643.53,0.23615
643.87,0.2333
644.22,0.23403
644.57,0.22814
644.92,0.22574
645.27,0.22423
645.62,0.22152
645.96,0.21696
646.31,0.21279
646.66,0.21286
647.01,0.21072
647.36,0.20706
647.7,0.2054
648.05,0.20294
648.4,0.20123
648.75,0.19882
649.1,0.19542
649.44,0.19493
649.79,0.19423
650.14,0.18889
650.49,0.18745
650.83,0.18739
651.18,0.18685
651.53,0.18314
651.88,0.17846
652.22,0.17681
652.57,0.17875
652.92,0.17519
653.27,0.17178
653.61,0.17024
653.96,0.16678
654.31,0.16776
654.66,0.16597
655.0,0.16396
655.35,0.15863
655.7,0.15906
656.04,0.15667
656.39,0.15443
656.74,0.15481
657.08,0.15014
657.43,0.15156
657.78,0.14925
658.12,0.14742
658.47,0.14789
658.82,0.14607
659.16,0.14347
659.51,0.14123
659.86,0.13884
660.2,0.13942
660.55,0.13719
660.9,0.13436
661.24,0.13389
661.59,0.13225
661.94,0.13122
662.28,0.1309
662.63,0.12831
662.97,0.12622
663.32,0.12734
663.67,0.1249
664.01,0.124
664.36,0.12122
664.7,0.12052
665.05,0.11966
665.4,0.11781
665.74,0.11718
666.09,0.11684
666.43,0.11437
666.78,0.11469
667.12,0.11253
667.47,0.11223
667.82,0.11145
668.16,0.10954
668.51,0.10951
668.85,0.10713
669.2,0.10787
669.54,0.10737
669.89,0.10487
670.23,0.1056
670.58,0.10379
670.92,0.10201
671.27,0.10063
671.61,0.099
671.96,0.09886
672.3,0.09857
672.65,0.09809
672.99,0.09633
